GameID,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Global_Sales
T74,Neverwinter Nights,PC,2002,Role-Playing,Atari,91,34,8.2,490,BioWare,T,0.03
T75,SingStar Mallorca Party,PS3,2009,Misc,Sony Computer Entertainment,,,,,,,0.05
T76,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,Activision,,,3.4,14,PlatinumGames,T,0.05
T77,Space Chimps,Wii,2008,Platform,Brash Entertainment,,,tbd,,"Red Tribe, Brash Entertainment",E10+,0.09
T78,NASCAR 2005: Chase for the Cup,GC,2004,Racing,Electronic Arts,,,,,,,0.12
T79,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,,,7,4,Gorilla Systems,E,0.8
T80,Grand Theft Auto III,PC,2002,Action,Take-Two Interactive,93,20,8.4,805,"DMA Design, Rockstar North",M,0.01
T81,Hyperdimension Neptunia Re;Birth 3,PSV,2014,Action,Idea Factory International,,,,,,,0.07
T82,Entaku no Seito: Students of Round,X360,2011,Role-Playing,ChunSoft,,,,,,,0.01
T83,Omega Labyrinth,PSV,2015,Role-Playing,D3Publisher,,,,,,,0.05
T84,Rock Band Country Track Pack 2,X360,2011,Misc,MTV Games,,,tbd,,Electronic Arts,E10+,0.05
T85,Freestyle Metal X,XB,2003,Racing,Midway Games,,,,,,,0.02
T86,Hogs of War,PS,2000,Strategy,Infogrames,62,10,8.8,31,Infogrames Sheffield,T,0.02
T87,Transformers: Devastation,PS3,2015,Action,Activision,,,7.1,17,PlatinumGames,T,0.08
T88,Sniper Elite 3,X360,2014,Shooter,505 Games,,,6.6,26,Rebellion,M,0.3
T89,Mushi Bugyou,3DS,2013,Action,Namco Bandai Games,,,,,,,0.01
T90,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,63,13,6.1,10,Omega Force,T,0.08
T91,DmC: Devil May Cry,PS4,2015,Action,Capcom,,,,,,,0.31
T92,Tales of Destiny,PS,1997,Role-Playing,Namco Bandai Games,,,,,,,1.04
T93,Super Mario Bros. 2,NES,1988,Platform,Nintendo,,,,,,,7.46
T94,SpongeBob's Atlantis SquarePantis,PS2,2007,Action,THQ,,,tbd,,THQ,E,0.44
T95,Shining Wind,PS2,2007,Role-Playing,Sega,,,,,,,0.13
T96,Tales of Innocence,DS,2007,Role-Playing,Namco Bandai Games,,,,,,,0.26
T97,Castlevania,N64,1999,Platform,Konami Digital Entertainment,,,,,,,0.64
T98,Watch Dogs,PS3,2014,Action,Ubisoft,,,5.1,383,Ubisoft Montreal,M,1.74
T99,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,Imax,,,,,,,0.06
T100,Jojo's Fashion Show: Design in a Dash!,DS,2009,Simulation,Ubisoft,,,,,,,0.04
T101,Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,,,7,20,TT Games,E10+,0.45
T102,Carmageddon 64,N64,1999,Action,Virgin Interactive,,,,,,,0.01
T103,NHL 2000,PS,1998,Sports,Electronic Arts,,,,,,,0.87
T104,Maze Craze: A Game of Cops 'n Robbers,2600,N/A,Action,Atari,,,,,,,0.45
T105,Up,PS2,2009,Action,THQ,,,tbd,,Asobo Studio,E,0.48
T106,Elements of Destruction,DS,2007,Strategy,THQ,,,tbd,,Black Lantern Studios,E10+,0.07
T107,Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,Adventure,Alchemist,,,,,,,0.03
T108,Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,,,tbd,,D3Publisher,E10+,0.25
T109,Invasion From Beyond,PS,1998,Shooter,GT Interactive,,,,,,,0.09
T110,The Sum of All Fears,GC,2003,Shooter,Ubisoft,36,11,3.4,5,Ubisoft Shanghai,T,0.03
T111,From The Abyss,DS,2008,Role-Playing,Nobilis,59,9,8,5,Sonic Powered,E,0.06
T112,PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,66,41,7.4,17,G-Artists,E,0.06
T113,Power Stone,DC,1998,Fighting,Eidos Interactive,,,,,,,0.14
T114,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,,,,,,,0.93
T115,Rock Band Country Track Pack,PS3,2009,Misc,MTV Games,,,tbd,,Harmonix Music Systems,E10+,0.19
T116,Death Connection Portable,PSP,2011,Adventure,Idea Factory,,,,,,,0.01
T117,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,Sega,,,,,,,0.13
T118,Heart Catch PreCure! Oshare Collection,DS,2010,Action,Namco Bandai Games,,,,,,,0.11
T119,Red Ninja: End of Honor,PS2,2005,Action,Vivendi Games,47,17,5,7,Opus,M,0.04
T120,Draglade,DS,2007,Fighting,505 Games,71,23,7.5,4,Dimps Corporation,E10+,0.1
T121,Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,Square Enix,,,,,,,0.32
T122,Starsky & Hutch,GBA,2003,Racing,Empire Interactive,,,,,,,0.03
T123,Winning Post 4,PS,1999,Sports,Tecmo Koei,,,,,,,0.15
T124,Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,,,,,,,0.05
T125,Nobunaga no Yabou: Tenshoki,SNES,1996,Strategy,Tecmo Koei,,,,,,,0.17
T126,Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,,,,,,,0.04
T127,Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,,,,,,,0.66
T128,World Sports Competition,PS3,2009,Sports,Hudson Soft,,,,,,,0.03
T129,Wand of Fortune R,PSV,2016,Adventure,Idea Factory,,,,,,,0.02
T130,Smashing Drive,GBA,2004,Racing,Zoo Digital Publishing,,,tbd,,Raylight Studios,E,0.03
T131,Cabela's Outdoor Adventures (2009),PS3,2009,Sports,Activision Value,,,tbd,,FUN Labs,T,0.23
T132,Railroad Tycoon II,PS,1999,Strategy,PopTop Software,,,,,,,0.11
T133,Mia Hamm Soccer 64,N64,2000,Sports,THQ,,,,,,,0.07
T134,Jambo! Safari Animal Rescue,DS,2009,Simulation,Sega,,,,,,,0.01
T135,Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,2010,Role-Playing,Kadokawa Shoten,,,,,,,0.01
T136,Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,,,,,,,1.44
T137,Pitfall: The Lost Expedition,GBA,2003,Platform,Activision,66,13,tbd,,Torus Games,E,0.07
T138,Barbie and Her Sisters Puppy Rescue,3DS,2015,Action,Namco Bandai Games,,,tbd,,"Torus Games, Little Orbit",E,0.03
T139,Band Hero,PS2,2009,Misc,Activision,,,4.4,7,BudCat,E10+,0.41
T140,Marvel Superheroes 3D: Grandmaster's Challenge,Wii,2010,Action,Neko Entertainment,,,,,,,0.02
T141,Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment,,,,,,,0.18
T142,Classic Road,SNES,1993,Sports,Victor Interactive,,,,,,,0.11
T143,SingStar Rocks!,PS2,2006,Misc,Sony Computer Entertainment,,,,,,,1.1
T144,Paws & Claws: Pet Vet 2,DS,2007,Simulation,THQ,,,,,,,0.14
T145,Elminage Original: Majo to Megami to Kamigami no Yubiwa,PSP,2011,Role-Playing,Starfish,,,,,,,0.02
T146,Resident Evil - Code: Veronica,DC,2000,Action,Eidos Interactive,,,,,,,1.14
T147,Serious Sam: Next Encounter,GC,2004,Shooter,Global Star,69,18,8.4,9,Climax Group,M,0.02
T148,Kid Icarus,NES,1986,Platform,Nintendo,,,,,,,1.76
T149,Hot Wheels Velocity X,GBA,2002,Racing,THQ,,,,,,,0.16
T150,Starry ? Sky: After Spring,PSP,2009,Misc,Aqua Plus,,,,,,,0.04
T151,CSI: Dark Motives,DS,2007,Adventure,Ubisoft,,,6.7,6,Powerhead Games,T,0.07
T152,LEGO Racers,N64,1999,Racing,LEGO Media,,,,,,,0.71
T153,Championship Bass,PS,1999,Sports,Electronic Arts,,,,,,,0.32
T154,Pro Rally,GC,2002,Racing,Ubisoft,64,11,tbd,,Ubisoft,E,0.02
T155,Dark Void,PC,2010,Action,Capcom,57,22,5.1,67,Airtight Games,T,0.02
T156,Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft,,,tbd,,Ubisoft,E,0.18
T157,DT Carnage,PSP,2009,Racing,Agetec,,,tbd,,Axis Entertainment,E10+,0.04
T158,Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,,,,,,,0.16
T159,GTR Evolution,PC,2008,Racing,Atari,83,19,8.2,63,SimBin,E,0.03
T160,Dancing on Ice,DS,2010,Sports,Ghostlight,,,,,,,0.02
T161,The Berenstain Bears and the Spooky Old Tree,GBA,2005,Platform,Namco Bandai Games,,,,,,,0.05
T162,The Amazing Spider-Man 2 (2014),3DS,2014,Action,Activision,,,,,,,0.06
T163,Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,,,,,,,0.15
T164,Ojyousama Express,PS,1998,Strategy,Media Works,,,,,,,0.06
T165,Time Travelers,PSP,2012,Adventure,Level 5,,,,,,,0.01
T166,Detective Jinguuji Saburo: Ronde Revenge,3DS,2012,Action,Arc System Works,,,,,,,0.02
T167,Super Ghouls 'n Ghosts,GBA,2002,Platform,Capcom,78,19,8.8,4,Capcom,E,0.07
T168,The Final Round,PS,1996,Sports,Konami Digital Entertainment,,,,,,,0.07
T169,Pro Yaky? Spirits 6,PS2,2009,Sports,Konami Digital Entertainment,,,,,,,0.13
T170,College Hoops 2K6,XB,2005,Sports,Take-Two Interactive,82,17,9.2,6,2K Sports,E,0.1
T171,Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,,,tbd,,Activision,E,0.49
T172,Strike Witches: Shirogane no Tsubasa,X360,2010,Strategy,CyberFront,,,,,,,0.02
T173,Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,,,,,,,0.15
T174,Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,2010,Fighting,Takara Tomy,,,,,,,0.06
T175,Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,,,,,,,0.15
T176,Chuugen no Hasha: Sangoku Shouseiden,PSP,2006,Strategy,Namco Bandai Games,,,,,,,0.02
T177,Blitz: Overtime,PSP,2006,Sports,Midway Games,,,7.5,4,Midway,M,0.09
T178,Tiny Tank,PS,1998,Action,Sony Computer Entertainment,,,,,,,0.34
T179,Math Play,DS,2006,Puzzle,Ubisoft,,,tbd,,Denyu-Sha,E,0.31
T180,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005,Misc,Success,,,,,,,0.04
T181,Alleyway,GB,1989,Puzzle,Nintendo,,,,,,,1.94
T182,Utawarerumono: Itsuwari no Kamen,PS3,2015,Adventure,Aqua Plus,,,,,,,0.05
T183,Detective Barbie: The Mystery Cruise,PS,1999,Adventure,Mattel Interactive,,,,,,,0.14
T184,The Inner World,PC,2013,Adventure,Headup Games,72,18,8.1,48,Headup Games,,0.03
T185,Arthur! Ready to Race,PS,2000,Racing,The Learning Company,,,,,,,0.05
T186,Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,,,,,,,1.34
T187,WarioWare Touched!,DS,2004,Puzzle,Nintendo,,,,,,,2.3
T188,Hidden Invasion,PS2,2001,Shooter,Swing! Entertainment,39,4,5.8,4,Toka,T,0.08
T189,Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,2007,Misc,Gakken,,,,,,,0.02
T190,Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,76,11,tbd,,Alfa System,T,0.06
T191,Omega Quintet,PS4,2014,Role-Playing,Compile Heart,58,22,7.1,81,Compile Heart,T,0.02
T192,Imagine: Teacher,DS,2008,Simulation,Ubisoft,,,tbd,,Magic Pockets,E,1.71
T193,The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,59,4,6.6,19,"Activision, Behaviour Interactive",E,0.03
T194,Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,58,7,6,5,Engine Software,E10+,0.05
T195,Empire Deluxe,PC,1992,Strategy,New World Computing,,,,,,,0.02
T196,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",PSP,2007,Role-Playing,Nippon Ichi Software,,,,,,,0.14
T197,Shonen Jump's One Piece: Grand Adventure,GC,2006,Fighting,Namco Bandai Games,,,,,,,0.04
T198,Winning Post 8 2015,PS3,2015,Action,Tecmo Koei,,,,,,,0.02
T199,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015,Action,Namco Bandai Games,,,,,,,0.02
T200,Powerbike,DS,2009,Racing,Majesco Entertainment,,,tbd,,Tornado Studios,E,0.02
T201,Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,,,,,,,0.45
T202,The X-Factor,PS3,2010,Misc,Deep Silver,,,,,,,0.13
T203,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008,Misc,Creative Core,,,,,,,0.01
T204,The King of Fighters '95 (CD),NG,1994,Fighting,SNK,,,,,,,0.23
T205,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,,,,,,,2.56
T206,Petz Fantasy: Sunshine Magic,DS,2010,Simulation,Ubisoft,,,tbd,,Digital Kids,E,0.08
T207,The Grim Adventures of Billy & Mandy,Wii,2006,Action,Midway Games,,,,,,,0.05
T208,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,,,,,,,0.01
T209,Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo,,,,,,,0.18
T210,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016,Action,dramatic create,,,,,,,0.01
T211,The House of the Dead 2,DC,1998,Shooter,Sega,,,,,,,0.26
T212,Sonic & All-Stars Racing Transformed,PC,2013,Racing,Sega,,,,,,,0.01
T213,Excitebike 64,N64,2000,Racing,Nintendo,,,,,,,1
T214,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,,,7.2,5,Harmonix Music Systems,T,0.27
T215,Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,,,1.3,9,ImaginEngine,E,0.12
T216,Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,,,,,,,0.34
T217,Commando: Steel Disaster,DS,2008,Shooter,Lexicon Entertainment,64,6,tbd,,Mana Comp. Soft.,E10+,0.02
T218,Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995,Fighting,Atlus,,,,,,,0.1
T219,Alien's Return,2600,1982,Action,ITT Family Games,,,,,,,0.34
T220,The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive,,,,,,,0.17
T221,Tyco RC: Assault with a Battery,PS,1999,Racing,Syscom,,,,,,,0.11
T222,Lagoon,SNES,1991,Role-Playing,Kemco,,,,,,,0.05
T223,Best Friends Tonight,DS,2010,Misc,Ubisoft,,,tbd,,Ubisoft,E10+,0.03
T224,SoulLink Extension,PS2,2006,Adventure,Interchannel,,,,,,,0.01
T225,Mahjong Taikai,DS,2004,Misc,Tecmo Koei,,,,,,,0.04
T226,R/C Stunt Copter,PS,1998,Simulation,Interplay,,,,,,,0.08
T227,Secret Files: Tunguska,DS,2008,Adventure,Deep Silver,71,6,7.6,5,"10tacle Studios, Fusionsphere Systems",T,0.05
T228,Rally Cross 2,PS,1998,Racing,989 Studios,,,,,,,0.35
T229,Elminage II: Sousei no Megami to Unmei no Daichi,PSP,2009,Role-Playing,Starfish,,,,,,,0.02
T230,Rock Band: Metal Track Pack,X360,2009,Misc,MTV Games,,,tbd,,Harmonix Music Systems,T,0.15
T231,Fairy Tail: Portable Guild,PSP,2010,Fighting,Konami Digital Entertainment,,,,,,,0.11
T232,SCORE International Baja 1000: The Official Game,PS3,2008,Racing,Activision,,,,,,,0.08
T233,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,,,,,,,3.02
T234,Hummer Badlands,PS2,2006,Racing,Global Star,48,4,tbd,,Eutechnyx,E,0.05
T235,Mana Khemia: Student Alliance,PSP,2008,Role-Playing,Nippon Ichi Software,41,19,5.3,37,Gust,E10+,0.1
T236,Donkey Kong Country,GB,2000,Platform,Nintendo,,,,,,,2.19
T237,Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,Ubisoft,,,,,,,0.01
T238,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,Action,D3Publisher,,,,,,,0.02
T239,MotoGP 07,PS2,2007,Racing,Capcom,62,26,9.1,7,Milestone,E,0.1
T240,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,,,,,,,0.19
T241,Nikoli's Pencil Puzzle,3DS,2011,Puzzle,Hudson Soft,61,7,tbd,,NATSUME ATARI Inc.,E,0.08
T242,Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure,,,,,,,0.24
T243,Arcania: Gothic 4,X360,2010,Role-Playing,JoWood Productions,64,21,5.2,52,Spellbound,T,0.09
T244,Homeworld Remastered Collection,PC,N/A,Strategy,N/A,86,49,8.2,324,Gearbox Software,E10+,0.01
T245,Pet Vet: Down Under,DS,2009,Simulation,Deep Silver,,,,,Braingame,E,0.05
T246,Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts,,,tbd,,Electronic Arts,E,0.25
T247,Port Royale 2,PC,2004,Strategy,Ascaron Entertainment GmbH,75,20,7.7,40,Ascaron Entertainment GmbH,T,0.04
T248,Love Once: Mermaid's Tears,PS3,2011,Adventure,Unknown,,,,,,,0.02
T249,Blazblue: Continuum Shift Extend,PSP,2012,Fighting,Arc System Works,,,,,,,0.01
T250,Armored Core SL: Silent Line Portable,PSP,2009,Simulation,From Software,,,,,,,0.03
T251,Lego Batman 3: Beyond Gotham,PC,2014,Action,Warner Bros. Interactive Entertainment,,,6.8,21,TT Games,E10+,0.06
T252,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,,,,,,,0.33
T253,Charlie's Angels,GC,2003,Action,Ubisoft,23,21,3.3,23,Neko Entertainment,T,0.02
T254,Nike+ Kinect Training,X360,2012,Sports,Microsoft Game Studios,,,,,,,0.04
T255,Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009,Fighting,Konami Digital Entertainment,,,,,,,0.03
T256,Ice Hockey,2600,1980,Sports,Activision,,,,,,,0.49
T257,SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,,,,,,,0.94
T258,Trap Gunner: Countdown to Oblivion,PS,1998,Strategy,Konami Digital Entertainment,,,,,,,0.03
T259,Despicable Me: The Game,PS2,2010,Platform,D3Publisher,,,,,,,0.1
T260,Kung Fu Panda 2,PS3,2011,Action,THQ,,,,,,,0.09
T261,Red Dead Redemption: Undead Nightmare,X360,2010,Action,Take-Two Interactive,,,7.6,18,Rockstar San Diego,M,1.07
T262,J-League Winning Eleven 2009: Club Championship,PS2,2009,Sports,Konami Digital Entertainment,,,,,,,0.08
T263,Star Soldier,NES,1986,Shooter,Hudson Soft,,,,,,,0.96
T264,MegaTagmension Blanc + Neptune VS Zombies,PSV,2015,Action,Idea Factory International,,,,,,,0.09
T265,The Voice,WiiU,2014,Action,Activision,,,,,,,0.1
T266,Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,77,12,7.2,11,Revolution Software,T,0.02
T267,Momotarou Dentetsu 12,PS2,2003,Misc,Hudson Soft,,,,,,,0.35
T268,Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,,,,,,,0.02
T269,Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011,Adventure,Comfort,,,,,,,0.03
T270,IA/VT Colorful,PSV,2015,Misc,Marvelous Entertainment,,,,,,,0.07
T271,We Sing Encore,Wii,2010,Misc,Nordic Games,,,,,,,0.45
T272,Mega Man X4,PS,1996,Action,Virgin Interactive,,,,,,,1.04
T273,Primal Rage,PS,1994,Fighting,Time Warner Interactive,,,,,,,0.11
T274,Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,,,,,,,0.16
